STATION,DATE,EMXP,PRCP,TAVG,TMAX,TMIN,WDFG,WSFG
USW00093193,1950-01,0.75,3.02,42.7,52.0,33.3,,
USW00093193,1950-02,1.01,1.84,51.5,63.5,39.5,,
USW00093193,1950-03,1.54,1.84,53.3,66.3,40.4,,
USW00093193,1950-04,0.79,0.82,62.9,77.7,48.1,,
USW00093193,1950-05,0.03,0.05,68.4,84.6,52.2,,
USW00093193,1950-06,0.0,0.0,72.8,89.2,56.4,,
USW00093193,1950-07,0.01,0.02,82.4,99.5,65.3,,
USW00093193,1950-08,0.0,0.0,79.3,97.0,61.5,,
USW00093193,1950-09,0.13,0.13,72.2,87.2,57.2,,
USW00093193,1950-10,0.76,1.19,65.9,81.3,50.5,,
USW00093193,1950-11,0.79,1.86,58.1,68.9,47.4,,
USW00093193,1950-12,0.62,1.6,50.9,57.2,44.7,,
USW00093193,1951-01,0.79,1.94,45.5,53.7,37.4,,
USW00093193,1951-02,0.64,1.6,49.9,61.7,38.1,,
USW00093193,1951-03,0.19,0.31,53.6,67.8,39.3,,
USW00093193,1951-04,0.94,1.58,61.0,74.9,47.1,,
USW00093193,1951-05,0.02,0.02,68.3,83.4,53.2,,
USW00093193,1951-06,0.06,0.06,74.2,91.1,57.2,,
USW00093193,1951-07,0.0,0.0,79.1,97.2,61.1,,
USW00093193,1951-08,0.0,0.0,77.9,95.8,60.0,,
USW00093193,1951-09,0.0,0.0,75.0,92.6,57.4,,
USW00093193,1951-10,0.33,0.33,63.1,79.7,46.5,,
USW00093193,1951-11,0.56,1.03,55.5,69.1,41.9,,
USW00093193,1951-12,0.75,2.82,44.8,54.4,35.1,,
USW00093193,1952-01,1.74,3.59,45.2,54.4,36.0,,
USW00093193,1952-02,0.27,0.54,49.9,61.4,38.3,,
USW00093193,1952-03,0.92,3.57,50.1,60.3,39.9,,
USW00093193,1952-04,0.93,2.07,60.9,73.7,48.1,,
USW00093193,1952-05,0.0,0.0,69.6,85.8,53.4,,
USW00093193,1952-06,0.01,0.01,69.0,83.7,54.3,,
USW00093193,1952-07,0.0,0.0,81.6,97.8,65.4,,
USW00093193,1952-08,0.0,0.0,79.1,96.8,61.4,,
USW00093193,1952-09,0.07,0.09,75.5,91.9,59.1,,
USW00093193,1952-10,0.02,0.02,68.2,84.3,52.1,,
USW00093193,1952-11,1.04,1.61,52.6,66.0,39.2,,
USW00093193,1952-12,1.1,4.06,46.9,54.8,38.9,,
USW00093193,1953-01,0.5,1.49,50.5,59.7,41.3,,
USW00093193,1953-02,0.06,0.09,48.4,62.0,34.8,,
USW00093193,1953-03,0.28,0.59,53.2,67.1,39.4,,
USW00093193,1953-04,0.94,0.96,59.3,72.7,46.0,,
USW00093193,1953-05,0.29,0.48,61.7,74.8,48.6,,
USW00093193,1953-06,0.31,0.32,69.3,83.5,55.1,,
USW00093193,1953-07,0.0,0.0,82.5,99.9,65.1,,
USW00093193,1953-08,0.0,0.0,75.5,91.0,60.0,,
USW00093193,1953-09,0.0,0.0,75.5,91.3,59.6,,
USW00093193,1953-10,0.18,0.18,63.3,79.6,47.0,,
USW00093193,1953-11,1.35,1.51,54.3,65.2,43.5,,
USW00093193,1953-12,0.27,0.51,45.7,57.6,33.8,,
USW00093193,1954-01,1.15,1.8,46.7,57.9,35.5,,
USW00093193,1954-02,0.41,1.13,49.6,59.5,39.7,,
USW00093193,1954-03,0.59,2.9,51.7,63.0,40.5,,
USW00093193,1954-04,0.44,0.48,63.9,77.5,50.3,,
USW00093193,1954-05,0.09,0.09,69.7,85.5,53.8,,
USW00093193,1954-06,0.15,0.29,71.7,86.6,56.8,,
USW00093193,1954-07,0.0,0.0,81.4,98.1,64.6,,
USW00093193,1954-08,0.0,0.0,74.5,90.6,58.4,,
USW00093193,1954-09,0.0,0.0,71.2,87.7,54.7,,
USW00093193,1954-10,0.0,0.0,63.6,79.9,47.4,,
USW00093193,1954-11,0.91,1.32,52.4,61.9,42.9,,
USW00093193,1954-12,0.92,1.83,43.7,51.0,36.5,,
USW00093193,1955-01,0.89,3.51,41.6,49.2,34.0,,
USW00093193,1955-02,0.93,1.46,47.0,59.7,34.4,,
USW00093193,1955-03,0.07,0.07,53.9,67.9,39.8,,
USW00093193,1955-04,0.51,1.48,54.8,68.1,41.5,,
USW00093193,1955-05,0.5,0.63,65.6,79.3,51.9,,
