ID,LAT,LON,ELE,NAME
USW00093193,36.7800,-119.7194,101.5,FRESNO YOSEMITE INTL AP
USW00023155,35.4344,-119.0542,149.0,BAKERSFIELD AP
USW00023157,37.3711,-118.3581,1250.3,BISHOP AP
USW00023232,38.5069,-121.4950,4.6,SACRAMENTO EXECUTIVE AP
USW00023234,37.6197,-122.3647,2.4,SAN FRANCISCO INTL AP
USW00023237,37.8892,-121.2258,7.9,STOCKTON METRO AP
USW00023174,33.9381,-118.3889,29.6,LOS ANGELES INTL AP
USW00023230,37.7214,-122.2208,1.8,OAKLAND METRO INTL AP
USW00023187,34.7436,-118.7242,1374.6,SANDBERG
USW00023273,34.8994,-120.4486,73.8,SANTA MARIA PUBLIC AP
